datetime,Open,High,Low,Close,Volume
2026-01-19 16:55:00,58.76,58.78,58.705,58.735,156.0
2026-01-19 17:00:00,58.73,58.875,58.725,58.86,193.0
2026-01-19 17:05:00,58.85,58.956,58.825,58.88,189.0
2026-01-19 17:10:00,58.885,58.951,58.865,58.951,143.0
2026-01-19 17:15:00,58.946,59.036,58.946,59.036,148.0
2026-01-19 17:20:00,59.031,59.066,58.945,59.001,181.0
2026-01-19 17:25:00,58.996,59.011,58.95,58.966,132.0
2026-01-19 17:30:00,58.961,59.046,58.955,58.986,132.0
2026-01-19 17:35:00,58.991,59.136,58.986,59.081,234.0
2026-01-19 17:40:00,59.076,59.126,59.066,59.121,118.0
2026-01-19 17:45:00,59.126,59.166,59.031,59.036,148.0
2026-01-19 17:50:00,59.026,59.066,58.985,58.996,162.0
2026-01-19 17:55:00,59.006,59.076,58.996,59.066,132.0
2026-01-19 18:00:00,59.071,59.096,59.001,59.031,141.0
2026-01-19 18:05:00,59.036,59.041,58.96,58.97,195.0
2026-01-19 18:10:00,58.965,59.01,58.96,58.995,97.0
2026-01-19 18:15:00,58.985,59.091,58.975,59.036,113.0
2026-01-19 18:20:00,59.046,59.086,58.915,58.945,159.0
2026-01-19 18:25:00,58.94,59.111,58.895,59.101,275.0
2026-01-19 18:30:00,59.096,59.151,59.046,59.106,119.0
2026-01-19 18:35:00,59.101,59.126,58.945,58.955,194.0
2026-01-19 18:40:00,58.96,59.081,58.925,59.066,135.0
2026-01-19 18:45:00,59.071,59.186,59.066,59.156,150.0
2026-01-19 18:50:00,59.146,59.186,59.096,59.151,145.0
2026-01-19 18:55:00,59.146,59.156,59.096,59.106,90.0
2026-01-19 19:00:00,59.096,59.116,59.04,59.07,118.0
2026-01-19 19:05:00,59.065,59.106,59.005,59.015,128.0
2026-01-19 19:10:00,59.02,59.075,58.995,59.065,81.0
2026-01-19 19:15:00,59.055,59.065,58.975,58.985,67.0
2026-01-19 19:20:00,58.98,59.106,58.96,59.035,118.0
2026-01-19 19:25:00,59.025,59.055,58.985,59.015,83.0
2026-01-19 19:30:00,59.01,59.095,58.995,59.055,126.0
2026-01-19 19:35:00,59.045,59.126,59.045,59.115,77.0
2026-01-19 19:40:00,59.11,59.156,59.095,59.105,102.0
2026-01-19 19:45:00,59.095,59.11,59.065,59.09,92.0
2026-01-19 19:50:00,59.085,59.146,59.075,59.135,110.0
2026-01-19 19:55:00,59.13,59.166,59.115,59.135,134.0
2026-01-19 20:00:00,59.145,59.176,59.075,59.176,149.0
2026-01-19 20:05:00,59.171,59.216,59.105,59.196,160.0
2026-01-19 20:10:00,59.186,59.206,59.085,59.105,141.0
2026-01-19 20:15:00,59.095,59.145,59.075,59.135,119.0
2026-01-19 20:20:00,59.145,59.186,59.115,59.181,132.0
2026-01-19 20:25:00,59.175,59.196,59.155,59.165,65.0
2026-01-19 20:30:00,59.17,59.216,59.115,59.115,130.0
2026-01-19 20:35:00,59.125,59.125,59.085,59.115,137.0
2026-01-19 20:40:00,59.125,59.135,59.045,59.095,101.0
2026-01-19 20:45:00,59.085,59.18,59.075,59.155,114.0
2026-01-19 20:50:00,59.16,59.195,59.135,59.165,137.0
2026-01-19 20:55:00,59.16,59.165,59.145,59.165,61.0
2026-01-19 21:00:00,59.155,59.185,59.135,59.185,135.0
2026-01-19 21:05:00,59.175,59.225,59.135,59.135,120.0
2026-01-19 21:10:00,59.14,59.175,59.095,59.175,148.0
2026-01-19 21:15:00,59.17,59.215,59.135,59.16,185.0
2026-01-19 21:20:00,59.155,59.215,59.145,59.155,178.0
2026-01-19 21:25:00,59.165,59.235,59.155,59.175,145.0
2026-01-19 21:30:00,59.18,59.326,59.175,59.316,159.0
2026-01-19 21:35:00,59.306,59.366,59.255,59.276,156.0
2026-01-19 21:40:00,59.265,59.326,59.255,59.326,161.0
2026-01-19 21:45:00,59.316,59.436,59.316,59.396,219.0
2026-01-19 21:50:00,59.386,59.436,59.386,59.401,145.0
2026-01-19 21:55:00,59.406,59.446,59.386,59.431,149.0
2026-01-19 22:00:00,59.436,59.486,59.421,59.456,182.0
2026-01-19 22:05:00,59.466,59.466,59.396,59.441,102.0
2026-01-19 22:10:00,59.446,59.511,59.391,59.401,125.0
2026-01-19 22:15:00,59.396,59.406,59.336,59.356,139.0
2026-01-19 22:20:00,59.361,59.366,59.285,59.336,171.0
2026-01-19 22:25:00,59.346,59.386,59.325,59.371,174.0
2026-01-19 22:30:00,59.366,59.501,59.366,59.491,163.0
2026-01-19 22:35:00,59.496,59.516,59.466,59.476,150.0
2026-01-19 22:40:00,59.466,59.501,59.446,59.456,140.0
2026-01-19 22:45:00,59.451,59.496,59.426,59.456,109.0
2026-01-19 22:50:00,59.446,59.466,59.426,59.446,76.0
2026-01-19 22:55:00,59.451,59.506,59.416,59.446,151.0
2026-01-19 23:00:00,59.436,59.506,59.345,59.506,230.0
2026-01-19 23:05:00,59.516,59.566,59.456,59.506,236.0
2026-01-19 23:10:00,59.511,59.576,59.501,59.556,223.0
2026-01-19 23:15:00,59.551,59.566,59.466,59.566,196.0
2026-01-19 23:20:00,59.556,59.596,59.486,59.541,202.0
2026-01-19 23:25:00,59.546,59.586,59.506,59.566,348.0
2026-01-19 23:30:00,59.586,59.586,59.506,59.516,246.0
2026-01-19 23:35:00,59.511,59.526,59.471,59.506,166.0
2026-01-19 23:40:00,59.511,59.526,59.456,59.516,174.0
2026-01-19 23:45:00,59.521,59.566,59.516,59.546,106.0
2026-01-19 23:50:00,59.551,59.616,59.526,59.576,112.0
2026-01-19 23:55:00,59.581,59.581,59.516,59.546,94.0
2026-01-20 00:00:00,59.551,59.626,59.546,59.616,78.0
2026-01-20 00:05:00,59.606,59.616,59.486,59.516,117.0
2026-01-20 00:10:00,59.506,59.536,59.486,59.536,59.0
2026-01-20 00:15:00,59.546,59.546,59.511,59.516,77.0
2026-01-20 00:20:00,59.526,59.556,59.516,59.521,66.0
2026-01-20 00:25:00,59.526,59.536,59.445,59.455,82.0
2026-01-20 00:30:00,59.445,59.455,59.335,59.425,123.0
2026-01-20 00:35:00,59.415,59.435,59.385,59.41,73.0
2026-01-20 00:40:00,59.405,59.415,59.365,59.4,84.0
2026-01-20 00:45:00,59.395,59.43,59.395,59.415,127.0
2026-01-20 00:50:00,59.425,59.455,59.39,59.445,118.0
2026-01-20 00:55:00,59.44,59.45,59.305,59.36,209.0
2026-01-20 01:00:00,59.365,59.475,59.345,59.475,136.0
2026-01-20 01:05:00,59.47,59.515,59.465,59.515,71.0
2026-01-20 01:10:00,59.505,59.525,59.48,59.505,52.0
2026-01-20 01:15:00,59.51,59.53,59.505,59.525,93.0
2026-01-20 01:20:00,59.52,59.525,59.495,59.525,52.0
2026-01-20 01:25:00,59.515,59.525,59.485,59.505,51.0
2026-01-20 01:30:00,59.51,59.54,59.495,59.535,127.0
2026-01-20 01:35:00,59.525,59.535,59.515,59.525,18.0
2026-01-20 01:40:00,59.53,59.575,59.525,59.545,53.0
2026-01-20 01:45:00,59.535,59.56,59.535,59.545,26.0
2026-01-20 01:50:00,59.54,59.54,59.475,59.49,41.0
2026-01-20 01:55:00,59.485,59.505,59.435,59.485,43.0
2026-01-20 02:00:00,59.49,59.495,59.485,59.485,31.0
2026-01-20 02:05:00,59.49,59.515,59.48,59.495,33.0
2026-01-20 02:10:00,59.5,59.535,59.49,59.53,32.0
2026-01-20 02:15:00,59.525,59.565,59.525,59.555,24.0
2026-01-20 02:20:00,59.565,59.565,59.535,59.54,26.0
2026-01-20 02:25:00,59.545,59.555,59.525,59.55,83.0
2026-01-20 06:00:00,59.49,59.535,59.485,59.52,37.0
2026-01-20 06:05:00,59.515,59.515,59.424,59.47,30.0
2026-01-20 06:10:00,59.465,59.54,59.465,59.53,21.0
2026-01-20 06:15:00,59.52,59.52,59.505,59.51,16.0
2026-01-20 06:20:00,59.505,59.515,59.475,59.48,11.0
2026-01-20 06:25:00,59.475,59.485,59.46,59.485,11.0
2026-01-20 06:30:00,59.48,59.52,59.47,59.52,20.0
2026-01-20 06:35:00,59.515,59.525,59.49,59.49,10.0
2026-01-20 06:40:00,59.495,59.505,59.495,59.5,6.0
2026-01-20 06:45:00,59.505,59.505,59.505,59.505,1.0
2026-01-20 06:50:00,59.5,59.5,59.479,59.484,8.0
2026-01-20 06:55:00,59.494,59.515,59.494,59.51,7.0
2026-01-20 07:00:00,59.515,59.525,59.505,59.525,13.0
2026-01-20 07:05:00,59.535,59.605,59.535,59.6,24.0
2026-01-20 07:10:00,59.605,59.68,59.595,59.61,60.0
2026-01-20 07:15:00,59.605,59.66,59.595,59.635,45.0
2026-01-20 07:20:00,59.63,59.635,59.565,59.58,32.0
2026-01-20 07:25:00,59.585,59.585,59.54,59.54,34.0
2026-01-20 07:30:00,59.545,59.555,59.545,59.555,7.0
2026-01-20 07:35:00,59.575,59.585,59.565,59.57,15.0
2026-01-20 07:40:00,59.575,59.575,59.56,59.565,8.0
2026-01-20 07:45:00,59.56,59.565,59.554,59.565,9.0
