datetime,Open,High,Low,Close,Volume
2026-01-26 13:25:00,87919.25,87993.31,87893.74,87929.35,141.83494
2026-01-26 13:30:00,87929.36,87981.68,87893.25,87893.25,34.41031
2026-01-26 13:35:00,87893.26,87929.4,87850.5,87877.23,42.37403
2026-01-26 13:40:00,87877.22,87964.07,87877.21,87962.51,46.90057
2026-01-26 13:45:00,87962.51,88021.74,87851.37,87978.0,85.2921
2026-01-26 13:50:00,87978.0,88031.73,87915.0,87923.97,52.73584
2026-01-26 13:55:00,87923.98,87952.41,87906.31,87937.44,41.2235
2026-01-26 14:00:00,87937.45,87940.6,87842.08,87859.9,65.58986
2026-01-26 14:05:00,87859.91,87922.22,87844.24,87920.45,43.7086
2026-01-26 14:10:00,87920.46,88008.5,87920.44,88008.49,50.61532
2026-01-26 14:15:00,88008.5,88074.48,87927.2,87927.21,71.90362
2026-01-26 14:20:00,87927.2,88014.65,87927.2,87940.0,48.66605
2026-01-26 14:25:00,87940.0,87949.43,87776.87,87788.2,62.76529
2026-01-26 14:30:00,87788.2,87792.0,87701.72,87759.76,114.89257
2026-01-26 14:35:00,87759.77,87982.8,87753.84,87982.79,71.42099
2026-01-26 14:40:00,87982.8,88021.74,87907.12,87923.92,50.21831
2026-01-26 14:45:00,87923.93,87956.8,87868.0,87887.97,48.96045
2026-01-26 14:50:00,87887.98,88050.0,87887.97,88034.66,73.52494
2026-01-26 14:55:00,88034.66,88034.66,87974.79,88000.64,66.14388
2026-01-26 15:00:00,88000.64,88181.6,88000.64,88118.01,118.72039
2026-01-26 15:05:00,88118.01,88165.78,88085.54,88117.33,56.20676
2026-01-26 15:10:00,88117.33,88149.99,87920.01,87920.02,53.82478
2026-01-26 15:15:00,87920.02,87943.63,87846.89,87936.0,55.75432
2026-01-26 15:20:00,87935.99,88424.45,87935.66,88192.99,243.73115
2026-01-26 15:25:00,88192.99,88247.51,88138.55,88200.01,45.21578
2026-01-26 15:30:00,88200.0,88222.93,88136.0,88146.0,33.29777
2026-01-26 15:35:00,88145.99,88161.99,88105.99,88143.86,29.85827
2026-01-26 15:40:00,88143.86,88143.87,88028.45,88056.19,41.71458
2026-01-26 15:45:00,88056.19,88092.45,88026.12,88054.77,22.78191
2026-01-26 15:50:00,88054.76,88084.09,87959.25,87975.08,40.45064
2026-01-26 15:55:00,87975.09,88000.0,87964.47,87975.39,48.99088
2026-01-26 16:00:00,87975.39,88000.0,87790.0,87825.93,77.12279
2026-01-26 16:05:00,87825.94,87876.8,87812.31,87835.15,40.25944
2026-01-26 16:10:00,87835.16,87837.09,87737.23,87822.74,65.03921
2026-01-26 16:15:00,87822.75,87848.36,87733.54,87766.88,31.54827
2026-01-26 16:20:00,87766.87,87847.26,87733.32,87747.1,24.8183
2026-01-26 16:25:00,87747.09,87807.48,87730.33,87801.85,25.55188
2026-01-26 16:30:00,87801.86,87813.62,87733.64,87765.6,45.11529
2026-01-26 16:35:00,87765.6,87765.6,87673.3,87673.31,25.11806
2026-01-26 16:40:00,87673.31,87803.68,87673.31,87766.51,71.60221
2026-01-26 16:45:00,87766.52,87812.5,87673.0,87692.83,35.19503
2026-01-26 16:50:00,87692.83,87692.83,87600.69,87616.01,50.82247
2026-01-26 16:55:00,87616.01,87670.12,87611.79,87663.12,51.09179
2026-01-26 17:00:00,87663.12,87816.77,87660.0,87816.77,43.67602
2026-01-26 17:05:00,87816.77,87912.0,87816.77,87836.93,23.40918
2026-01-26 17:10:00,87836.92,87888.39,87826.15,87842.47,28.35592
2026-01-26 17:15:00,87842.48,87900.0,87795.84,87829.4,19.97673
2026-01-26 17:20:00,87829.4,87842.74,87819.7,87827.2,7.17317
2026-01-26 17:25:00,87827.19,87934.9,87827.19,87912.74,28.93054
2026-01-26 17:30:00,87912.73,87950.0,87912.73,87940.75,11.6029
2026-01-26 17:35:00,87940.74,87950.0,87858.8,87878.93,28.26297
2026-01-26 17:40:00,87878.93,87900.0,87868.38,87889.55,7.95859
2026-01-26 17:45:00,87889.55,87950.0,87889.54,87919.48,23.40234
2026-01-26 17:50:00,87919.24,87939.91,87906.27,87921.24,12.00372
2026-01-26 17:55:00,87921.24,87927.88,87897.54,87897.55,7.72922
2026-01-26 18:00:00,87897.55,87941.18,87897.54,87919.25,26.17317
2026-01-26 18:05:00,87919.24,87959.99,87919.24,87953.06,14.5427
2026-01-26 18:10:00,87953.07,87980.0,87953.06,87973.0,7.06638
2026-01-26 18:15:00,87973.0,87977.71,87942.49,87945.58,11.74181
2026-01-26 18:20:00,87945.57,87971.35,87905.96,87905.99,18.98102
2026-01-26 18:25:00,87906.0,87906.0,87794.67,87794.68,53.47173
2026-01-26 18:30:00,87794.67,87823.89,87765.99,87808.7,18.35666
2026-01-26 18:35:00,87808.7,87854.47,87775.49,87854.47,34.09319
2026-01-26 18:40:00,87854.46,87879.58,87842.62,87848.75,19.11431
2026-01-26 18:45:00,87848.76,87848.76,87800.0,87807.98,14.39763
2026-01-26 18:50:00,87807.98,87848.3,87807.98,87836.64,15.31525
2026-01-26 18:55:00,87836.65,87855.99,87836.64,87855.0,10.80408
2026-01-26 19:00:00,87855.01,87968.94,87855.0,87960.64,27.89221
2026-01-26 19:05:00,87960.65,87971.99,87800.03,87800.03,34.41063
2026-01-26 19:10:00,87800.03,87888.62,87740.4,87882.35,26.14228
2026-01-26 19:15:00,87882.34,87936.0,87877.86,87918.0,24.1529
2026-01-26 19:20:00,87918.0,87934.8,87844.17,87850.24,27.38891
2026-01-26 19:25:00,87850.24,87897.46,87850.24,87889.11,10.74123
2026-01-26 19:30:00,87889.12,87891.0,87821.32,87829.69,26.14284
2026-01-26 19:35:00,87829.69,87864.67,87787.58,87787.59,54.74013
2026-01-26 19:40:00,87787.58,87804.98,87735.38,87767.98,16.24035
2026-01-26 19:45:00,87767.99,87779.98,87763.05,87773.24,14.00051
2026-01-26 19:50:00,87773.24,87837.63,87773.24,87820.0,14.55857
2026-01-26 19:55:00,87820.0,87820.0,87789.18,87799.45,12.44595
2026-01-26 20:00:00,87799.44,87865.0,87724.01,87753.15,37.29554
2026-01-26 20:05:00,87753.15,87790.16,87694.0,87694.53,48.49989
2026-01-26 20:10:00,87694.52,87851.18,87681.4,87829.84,33.07328
2026-01-26 20:15:00,87829.84,87935.15,87807.06,87898.14,65.98021
2026-01-26 20:20:00,87898.14,87937.29,87898.14,87930.39,33.73829
2026-01-26 20:25:00,87930.39,87934.95,87889.31,87893.02,43.98075
2026-01-26 20:30:00,87893.01,88048.0,87869.86,88023.04,74.55967
2026-01-26 20:35:00,88023.03,88046.0,87884.31,87966.2,70.8045
2026-01-26 20:40:00,87966.2,88026.8,87966.2,88011.89,57.26135
2026-01-26 20:45:00,88011.89,88011.89,87954.47,87989.34,21.16897
